-23.0	44.0	-80.0
-22.0	42.0	-73.0
-21.0	43.0	-78.0
-23.0	44.0	-75.0
-22.0	44.0	-75.0
-21.0	43.0	-77.0
-22.0	42.0	-74.0
-25.0	44.0	-75.0
-21.0	45.0	-77.0
-18.0	43.0	-78.0
-22.0	44.0	-76.0
-21.0	40.0	-73.0
-15.0	36.0	-80.0
-1.0	28.0	-85.0
7.0	23.0	-107.0
10.0	24.0	-120.0
7.0	26.0	-138.0
1.0	28.0	-150.0
-1.0	26.0	-157.0
-13.0	28.0	-162.0
-20.0	32.0	-161.0
-19.0	30.0	-158.0
-17.0	28.0	-156.0
-19.0	24.0	-148.0
-19.0	23.0	-142.0
-14.0	23.0	-139.0
-12.0	25.0	-139.0
-3.0	28.0	-139.0
-2.0	25.0	-130.0
-1.0	26.0	-132.0
-2.0	27.0	-130.0
-5.0	25.0	-131.0
-5.0	27.0	-125.0
-2.0	25.0	-125.0
-2.0	25.0	-118.0
-5.0	27.0	-121.0
-8.0	26.0	-113.0
-18.0	26.0	-116.0
-18.0	25.0	-117.0
-21.0	25.0	-122.0
-20.0	23.0	-116.0
-13.0	25.0	-114.0
-11.0	25.0	-118.0
-7.0	25.0	-115.0
-3.0	28.0	-125.0
-4.0	25.0	-122.0
-7.0	25.0	-129.0
-3.0	26.0	-135.0
-9.0	23.0	-130.0
-12.0	22.0	-131.0
-16.0	22.0	-133.0
-21.0	25.0	-142.0
-22.0	25.0	-144.0
-25.0	26.0	-138.0
-26.0	25.0	-141.0
-32.0	25.0	-135.0
-29.0	25.0	-134.0
-30.0	26.0	-130.0
-22.0	24.0	-120.0
-16.0	24.0	-123.0
-8.0	26.0	-119.0
-5.0	25.0	-120.0
-2.0	26.0	-124.0
-5.0	25.0	-125.0
-12.0	27.0	-124.0
-22.0	23.0	-123.0
-26.0	23.0	-129.0
-31.0	26.0	-128.0
-36.0	27.0	-129.0
-34.0	28.0	-130.0
-33.0	25.0	-136.0
-33.0	26.0	-123.0
-29.0	24.0	-118.0
-30.0	30.0	-109.0
-28.0	36.0	-97.0
-25.0	46.0	-91.0
-28.0	59.0	-83.0
-24.0	79.0	-85.0
-24.0	93.0	-91.0
-24.0	102.0	-97.0
-21.0	109.0	-103.0
-18.0	115.0	-126.0
-23.0	114.0	-132.0
-25.0	112.0	-142.0
-26.0	111.0	-148.0
-26.0	110.0	-151.0
-27.0	113.0	-138.0
-26.0	112.0	-121.0
-24.0	109.0	-99.0
-22.0	98.0	-93.0
-27.0	84.0	-88.0
-33.0	66.0	-90.0
-33.0	49.0	-90.0
-33.0	38.0	-100.0
-35.0	29.0	-109.0
-33.0	25.0	-124.0
-36.0	24.0	-133.0
-31.0	26.0	-145.0
-27.0	34.0	-164.0
-29.0	53.0	-177.0
-29.0	69.0	-179.0
-28.0	79.0	-179.0
-27.0	86.0	-174.0
-24.0	98.0	-163.0
-23.0	107.0	-164.0
-24.0	111.0	-153.0
-28.0	112.0	-141.0
-26.0	113.0	-130.0
-23.0	114.0	-128.0
-23.0	113.0	-135.0
-20.0	113.0	-146.0
-20.0	107.0	-158.0
-18.0	95.0	-170.0
-17.0	76.0	-179.0
-19.0	66.0	-177.0
-21.0	50.0	-177.0
-23.0	39.0	-166.0
-27.0	30.0	-156.0
-28.0	25.0	-144.0
-27.0	24.0	-133.0
-25.0	24.0	-129.0
-25.0	22.0	-129.0
-10.0	23.0	-127.0
-2.0	26.0	-123.0
8.0	33.0	-120.0
18.0	39.0	-123.0
25.0	49.0	-120.0
26.0	66.0	-125.0
25.0	81.0	-118.0
21.0	97.0	-118.0
14.0	101.0	-115.0
9.0	105.0	-114.0
11.0	106.0	-112.0
19.0	95.0	-114.0
25.0	79.0	-117.0
24.0	60.0	-114.0
19.0	42.0	-116.0
11.0	33.0	-121.0
1.0	26.0	-119.0
-13.0	22.0	-120.0
-25.0	21.0	-126.0
-36.0	30.0	-126.0
-50.0	39.0	-127.0
-56.0	47.0	-129.0
-59.0	62.0	-125.0
-58.0	75.0	-129.0
-55.0	91.0	-130.0
-45.0	100.0	-135.0
-33.0	110.0	-130.0
-20.0	115.0	-125.0
-10.0	114.0	-122.0
-4.0	113.0	-123.0
-7.0	114.0	-127.0
-21.0	115.0	-124.0
-40.0	104.0	-124.0
-54.0	90.0	-126.0
-57.0	73.0	-124.0
-60.0	57.0	-129.0
-53.0	44.0	-127.0
-41.0	31.0	-136.0
-28.0	26.0	-138.0
-9.0	22.0	-133.0
8.0	30.0	-127.0
19.0	45.0	-124.0
25.0	59.0	-125.0
28.0	74.0	-121.0
23.0	82.0	-118.0
22.0	92.0	-121.0
11.0	102.0	-115.0
-9.0	113.0	-115.0
-5.0	113.0	-114.0
1.0	110.0	-122.0
2.0	109.0	-118.0
-1.0	114.0	-115.0
-8.0	114.0	-125.0
-7.0	114.0	-129.0
-15.0	116.0	-124.0
-30.0	114.0	-124.0
-44.0	104.0	-126.0
-54.0	88.0	-123.0
-60.0	75.0	-125.0
-60.0	62.0	-123.0
-59.0	50.0	-129.0
-52.0	43.0	-133.0
-47.0	35.0	-130.0
-41.0	29.0	-127.0
-33.0	28.0	-128.0
-29.0	22.0	-130.0
-22.0	22.0	-129.0
-21.0	22.0	-129.0
-33.0	26.0	-130.0
-43.0	30.0	-135.0
-51.0	42.0	-146.0
-59.0	58.0	-144.0
-55.0	76.0	-153.0
-50.0	91.0	-155.0
-37.0	102.0	-149.0
-29.0	103.0	-160.0
-19.0	98.0	-169.0
-14.0	95.0	-171.0
-12.0	93.0	-171.0
-12.0	86.0	-177.0
-11.0	80.0	-177.0
-9.0	75.0	-175.0
1.0	69.0	-176.0
10.0	69.0	-166.0
18.0	67.0	-155.0
22.0	62.0	-148.0
25.0	56.0	-136.0
24.0	53.0	-128.0
21.0	48.0	-118.0
21.0	49.0	-113.0
16.0	45.0	-106.0
9.0	46.0	-99.0
3.0	42.0	-101.0
2.0	41.0	-96.0
0.0	40.0	-93.0
-2.0	39.0	-95.0
-4.0	36.0	-93.0
-2.0	39.0	-94.0
-2.0	35.0	-101.0
1.0	38.0	-96.0
4.0	43.0	-93.0
3.0	48.0	-91.0
-4.0	59.0	-86.0
-14.0	65.0	-80.0
-25.0	68.0	-83.0
-33.0	68.0	-88.0
-35.0	71.0	-88.0
-22.0	75.0	-79.0
-5.0	70.0	-78.0
6.0	65.0	-85.0
11.0	60.0	-90.0
16.0	53.0	-102.0
14.0	43.0	-103.0
13.0	38.0	-112.0
11.0	36.0	-115.0
9.0	33.0	-124.0
4.0	28.0	-130.0
-3.0	23.0	-132.0
-15.0	22.0	-132.0
-25.0	24.0	-126.0
-29.0	28.0	-118.0
-32.0	29.0	-112.0
-33.0	35.0	-107.0
-30.0	33.0	-101.0
-26.0	37.0	-95.0
-25.0	36.0	-91.0
-25.0	44.0	-91.0
-20.0	43.0	-89.0
-12.0	45.0	-85.0
-1.0	48.0	-90.0
6.0	47.0	-95.0
2.0	47.0	-91.0
-1.0	38.0	-99.0
-7.0	34.0	-103.0
-11.0	30.0	-103.0
-15.0	28.0	-110.0
-18.0	22.0	-121.0
-22.0	24.0	-136.0
-23.0	25.0	-150.0
-20.0	35.0	-164.0
-15.0	41.0	-174.0
-14.0	49.0	-172.0
-15.0	47.0	-175.0
-14.0	29.0	-157.0
-18.0	22.0	-138.0
-23.0	23.0	-129.0
-28.0	30.0	-115.0
-37.0	32.0	-110.0
-42.0	37.0	-111.0
-43.0	39.0	-104.0
-39.0	40.0	-100.0
-24.0	41.0	-91.0
-13.0	38.0	-95.0
-8.0	43.0	-92.0
3.0	48.0	-88.0
5.0	48.0	-93.0
15.0	59.0	-96.0
18.0	56.0	-99.0
